round	subject	mode	scenkey	scenario	rps	p50	p99	p999	status
9	ours(posixKqueue)	floor	_payload	-	31968.81327084997	0.558334	37.105958	90.30199999999999	ok
9	ours(posixKqueue)	floor	_hello_world	-	34918.85115511304	0.513208	36.083833000000006	90.51754100000001	ok
9	ours(posixKqueue)	floor	_echo	-	35211.30040486907	0.5134160000000001	34.300292000000006	72.017542	ok
10	ours(posixKqueue)	full	_plaintext	-	32869.888885086046	0.603583	35.793084	74.006666	ok
10	ours(posixKqueue)	full	_json	-	31037.30208539489	0.61375	39.62475	77.28904200000001	ok
10	ours(posixKqueue)	full	_payload	-	32204.664235493066	0.619167	40.682583	76.11304100000001	ok
10	ours(posixKqueue)	full	_hello_world	-	26027.852421526644	0.635583	54.648291	132.903625	ok
10	ours(posixKqueue)	full	_echo	-	31133.62205095395	0.601541	37.026917	83.99575	ok
10	ours(posixKqueue)	floor	_plaintext	-	37868.48270693871	0.505709	30.226084	72.764375	ok
10	ours(posixKqueue)	floor	_json	-	36166.802383319264	0.514833	32.553625000000004	82.485208	ok
10	ours(posixKqueue)	floor	_payload	-	47412.55299652818	0.6593330000000001	13.896583	37.195709	ok
10	ours(posixKqueue)	floor	_hello_world	-	43585.756839534006	0.525042	21.192167	46.826291999999995	ok
10	ours(posixKqueue)	floor	_echo	-	43423.204674351604	0.5835830000000001	17.848916	37.934125	ok
11	ours(posixKqueue)	full	_plaintext	-	47681.272159245695	0.701125	12.843959	23.007958	ok
11	ours(posixKqueue)	full	_json	-	45655.54843403472	0.723875	13.040292	33.73308299999999	ok
11	ours(posixKqueue)	full	_payload	-	46411.566229953176	0.719666	13.2025	34.466042	ok
11	ours(posixKqueue)	full	_hello_world	-	43414.4292685045	0.739583	14.581999999999999	37.105459	ok
11	ours(posixKqueue)	full	_echo	-	49337.09607566465	0.710084	10.931833000000001	22.700875	ok
11	ours(posixKqueue)	floor	_plaintext	-	48561.77458327257	0.6752079999999999	12.426667	33.284917	ok
11	ours(posixKqueue)	floor	_json	-	54122.34280331081	0.704333	9.010125	19.076791999999998	ok
11	ours(posixKqueue)	floor	_payload	-	53951.76236336076	0.7230420000000001	8.723583	24.014	ok
11	ours(posixKqueue)	floor	_hello_world	-	52312.955455866475	0.712208	9.418292	20.5865	ok
11	ours(posixKqueue)	floor	_echo	-	52540.85773678486	0.6467499999999999	10.521792	22.619500000000002	ok
