round	subject	mode	scenkey	scenario	rps	p50	p99	p999	status
2	ours(posixKqueue)	full	_payload	-	32531.534737235448	0.538583	40.998374999999996	106.85887500000001	ok
2	ours(posixKqueue)	full	_hello_world	-	29287.365835476157	0.554708	48.857375000000005	109.267375	ok
2	ours(posixKqueue)	full	_echo	-	24595.222734418818	0.546625	66.474458	157.959792	ok
2	vapor	floor	_plaintext	-	38152.519634911216	0.54825	16.282167	38.744458	ok
2	vapor	floor	_json	-	31654.176614986285	0.5349579999999999	25.405333	66.918917	ok
2	vapor	floor	_payload	-	30853.112010888864	0.5142089999999999	26.371	80.074459	ok
2	vapor	floor	_hello_world	-	30303.175939915665	0.553709	27.537	65.200542	ok
2	vapor	floor	_echo	-	45698.708129016995	0.6407090000000001	9.120790999999999	17.175791	ok
2	ours(posixKqueue)	floor	_plaintext	-	44473.29793991643	0.54875	21.048667000000002	74.68670800000001	ok
2	ours(posixKqueue)	floor	_json	-	55772.911935629294	0.751	7.465667	15.813958999999999	ok
2	ours(posixKqueue)	floor	_payload	-	53569.7550384487	0.6882499999999999	9.437167	17.243250000000003	ok
2	ours(posixKqueue)	floor	_hello_world	-	34868.39758430556	0.55325	32.582166	103.607625	ok
2	ours(posixKqueue)	floor	_echo	-	35293.351123575296	0.5181250000000001	34.973334	87.3505	ok
2	ours(swiftSystem)	floor	_plaintext	-	35878.12371104038	0.515	34.20375	83.46199999999999	ok
2	ours(swiftSystem)	floor	_json	-	31291.271624097695	0.534959	42.348541000000004	101.641125	ok
2	ours(swiftSystem)	floor	_payload	-	34942.550954414044	0.47733299999999995	37.842792	84.167125	ok
2	ours(swiftSystem)	floor	_hello_world	-	32018.96424727462	0.51425	41.082292	96.290292	ok
2	ours(swiftSystem)	floor	_echo	-	37605.71269162661	0.468458	34.625583	75.93858300000001	ok
2	go	floor	_plaintext	-	46393.351253780245	0.487209	19.2385	43.661417	ok
2	go	floor	_json	-	43417.2219701772	0.48974999999999996	21.141292	49.107749999999996	ok
2	go	floor	_payload	-	52956.86911468895	0.6677919999999999	9.832834	20.354750000000003	ok
2	go	floor	_hello_world	-	52446.45549606126	0.688084	9.440624999999999	24.156	ok
2	go	floor	_echo	-	54729.45521688354	0.731958	7.471417	12.816166	ok
3	rust	floor	_plaintext	-	59288.686343270805	0.9765	3.459083	13.138874999999999	ok
3	rust	floor	_json	-	53505.52686599053	0.9474159999999999	7.735042	26.002875000000003	ok
3	rust	floor	_payload	-	59500.27925122326	0.9820829999999999	3.271834	10.822417000000002	ok
3	rust	floor	_hello_world	-	59522.748032123796	0.988792	2.914667	10.439709	ok
3	rust	floor	_echo	-	50815.32755104411	0.764916	14.644875	50.718125	ok
3	hummingbird	floor	_plaintext	-	36837.557858211774	0.48275	25.016083000000002	51.470124999999996	ok
3	hummingbird	floor	_json	-	39790.400380588886	0.516917	19.967	49.578042	ok
3	hummingbird	floor	_payload	-	30425.196619086204	0.485291	36.048334000000004	73.571833	ok
3	hummingbird	floor	_hello_world	-	32085.314844575863	0.481083	34.921208	66.584083	ok
3	hummingbird	floor	_echo	-	43422.811971921736	0.523208	17.566	36.670708000000005	ok
3	ours(posixKqueue)	full	_plaintext	-	53798.7668491494	0.789708	7.871958	15.904084	ok
3	ours(posixKqueue)	full	_json	-	50304.26690817474	0.756834	10.011375	19.371958000000003	ok
3	ours(posixKqueue)	full	_payload	-	47033.58981909756	0.711333	11.863667	35.503166	ok
3	ours(posixKqueue)	full	_hello_world	-	49658.9503873231	0.763583	10.200541000000001	20.191457999999997	ok
3	ours(posixKqueue)	full	_echo	-	50012.03089189628	0.686417	11.394207999999999	20.631625	ok
3	vapor	floor	_plaintext	-	46697.47567717855	0.73325	7.766083	14.570291000000001	ok
3	vapor	floor	_json	-	45955.38170672801	0.7127089999999999	8.783833	29.663791	ok
3	vapor	floor	_payload	-	49576.858450481355	0.78225	6.409208	11.813792	ok
3	vapor	floor	_hello_world	-	46411.0571903378	0.862958	6.943708	14.747917	ok
3	vapor	floor	_echo	-	48593.98446923964	0.7306250000000001	7.291665999999999	13.993291999999999	ok
3	ours(posixKqueue)	floor	_plaintext	-	41359.47786760139	0.552333	20.730958	73.345958	ok
3	ours(posixKqueue)	floor	_json	-	35477.84226292863	0.572667	29.847125	76.72295899999999	ok
3	ours(posixKqueue)	floor	_payload	-	23539.840229603546	0.49345900000000004	68.22425	178.22850000000003	ok
